pid,pr_text,req_hrs,dur_weeks,req_skills
p1,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: serve via FastAPI.",10,9,"[""nlp"", ""python"", ""signal processing""]"
p2,"Topic: Edge AI for wearables; req: cv, python. Goal: optimize CUDA kernels.",8,18,"[""cv"", ""python""]"
p3,"Topic: Edge AI for wearables; req: cv, data analysis, python. Goal: deploy on Jetson.",17,16,"[""cv"", ""data analysis"", ""python""]"
p4,"Topic: Medical imaging segmentation; req: cv, matlab. Goal: deploy on Jetson.",15,12,"[""cv"", ""matlab""]"
p5,"Topic: Bioinformatics pipelines; req: data analysis, python, statistics. Goal: compress models for mobile.",7,28,"[""data analysis"", ""python"", ""statistics""]"
p6,"Topic: Recommender systems at scale; req: data analysis, nlp, python, statistics. Goal: build a simple data pipeline.",17,27,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p7,"Topic: NLP for low-resource languages; req: keras, nlp, python. Goal: deploy on Jetson.",17,14,"[""keras"", ""nlp"", ""python""]"
p8,"Topic: Time-series forecasting for energy; req: python, statistics. Goal: compress models for mobile.",17,22,"[""python"", ""statistics""]"
p9,"Topic: NLP for low-resource languages; req: nlp, python, signal processing. Goal: compress models for mobile.",7,20,"[""nlp"", ""python"", ""signal processing""]"
p10,"Topic: Bioinformatics pipelines; req: data analysis, python, signal processing, statistics. Goal: integrate with ROS2.",10,16,"[""data analysis"", ""python"", ""signal processing"", ""statistics""]"
p11,"Topic: RL for warehouse robots; req: nlp, python, signal processing. Goal: annotate a small dataset.",9,19,"[""nlp"", ""python"", ""signal processing""]"
p12,"Topic: Embedded vision on FPGA; req: cv, matlab. Goal: deploy on Jetson.",8,20,"[""cv"", ""matlab""]"
p13,"Topic: Embedded vision on FPGA; req: cv, matlab. Goal: perform A/B testing.",12,14,"[""cv"", ""matlab""]"
p14,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: optimize CUDA kernels.",11,15,"[""python"", ""statistics""]"
p15,"Topic: RL for warehouse robots; req: nlp, python. Goal: build a simple data pipeline.",12,14,"[""nlp"", ""python""]"
p16,"Topic: Bioinformatics pipelines; req: data analysis, python, statistics. Goal: compress models for mobile.",13,14,"[""data analysis"", ""python"", ""statistics""]"
p17,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: evaluate on edge devices.",17,16,"[""python"", ""statistics""]"
p18,"Topic: Quantitative finance; req: data analysis, nlp, python, statistics. Goal: serve via FastAPI.",15,28,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p19,"Topic: Quantitative finance; req: python, signal processing, statistics. Goal: optimize CUDA kernels.",17,19,"[""python"", ""signal processing"", ""statistics""]"
p20,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: integrate with ROS2.",12,22,"[""nlp"", ""python"", ""signal processing""]"
p21,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: serve via FastAPI.",10,20,"[""python"", ""statistics""]"
p22,"Topic: OCR for historical texts; req: cv, nlp, signal processing. Goal: annotate a small dataset.",6,14,"[""cv"", ""nlp"", ""signal processing""]"
p23,"Topic: Control for quadrotors; req: python, signal processing. Goal: annotate a small dataset.",14,25,"[""python"", ""signal processing""]"
p24,"Topic: Embedded vision on FPGA; req: cv, matlab. Goal: annotate a small dataset.",8,14,"[""cv"", ""matlab""]"
p25,"Topic: RL for warehouse robots; req: nlp, python, signal processing. Goal: evaluate on edge devices.",12,24,"[""nlp"", ""python"", ""signal processing""]"
p26,"Topic: Speech recognition; req: nlp, signal processing. Goal: serve via FastAPI.",11,27,"[""nlp"", ""signal processing""]"
p27,"Topic: Time-series forecasting for energy; req: python, statistics. Goal: annotate a small dataset.",15,8,"[""python"", ""statistics""]"
p28,"Topic: Medical imaging segmentation; req: cv, matlab. Goal: serve via FastAPI.",18,19,"[""cv"", ""matlab""]"
p29,"Topic: Quantitative finance; req: data analysis, python, statistics. Goal: build a simple data pipeline.",13,9,"[""data analysis"", ""python"", ""statistics""]"
p30,"Topic: Anomaly detection in IoT; req: python, statistics. Goal: serve via FastAPI.",17,16,"[""python"", ""statistics""]"
p31,"Topic: Recommender systems at scale; req: data analysis, nlp, python, statistics. Goal: compress models for mobile.",16,15,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p32,"Topic: Medical imaging segmentation; req: cv, matlab, signal processing. Goal: annotate a small dataset.",13,26,"[""cv"", ""matlab"", ""signal processing""]"
p33,"Topic: RL for warehouse robots; req: nlp, python, signal processing. Goal: perform A/B testing.",11,10,"[""nlp"", ""python"", ""signal processing""]"
p34,"Topic: Quantitative finance; req: nlp, statistics. Goal: build a simple data pipeline.",15,17,"[""nlp"", ""statistics""]"
p35,"Topic: Embedded vision on FPGA; req: cv, matlab. Goal: evaluate on edge devices.",6,19,"[""cv"", ""matlab""]"
p36,"Topic: LLM retrieval and RAG; req: nlp, python, statistics. Goal: perform A/B testing.",16,23,"[""nlp"", ""python"", ""statistics""]"
p37,"Topic: Edge AI for wearables; req: cv, python. Goal: integrate with ROS2.",15,14,"[""cv"", ""python""]"
p38,"Topic: NLP for low-resource languages; req: keras, nlp, python, signal processing. Goal: build a simple data pipeline.",10,10,"[""keras"", ""nlp"", ""python"", ""signal processing""]"
p39,"Topic: Computational photography; req: cv, python, signal processing. Goal: annotate a small dataset.",16,24,"[""cv"", ""python"", ""signal processing""]"
p40,"Topic: Bioinformatics pipelines; req: data analysis, python, signal processing, statistics. Goal: annotate a small dataset.",15,14,"[""data analysis"", ""python"", ""signal processing"", ""statistics""]"
p41,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: deploy on Jetson.",14,20,"[""nlp"", ""python"", ""signal processing""]"
p42,"Topic: Speech recognition; req: nlp, python, signal processing. Goal: integrate with ROS2.",10,19,"[""nlp"", ""python"", ""signal processing""]"
p43,"Topic: GNNs for scientific graphs; req: gnn, pytorch, statistics. Goal: serve via FastAPI.",16,13,"[""gnn"", ""pytorch"", ""statistics""]"
p44,"Topic: Recommender systems at scale; req: nlp, statistics. Goal: annotate a small dataset.",18,26,"[""nlp"", ""statistics""]"
p45,"Topic: LLM retrieval and RAG; req: nlp, python, statistics. Goal: serve via FastAPI.",9,28,"[""nlp"", ""python"", ""statistics""]"
p46,"Topic: LLM retrieval and RAG; req: nlp, python, signal processing, statistics. Goal: annotate a small dataset.",7,11,"[""nlp"", ""python"", ""signal processing"", ""statistics""]"
p47,"Topic: DSP on edge devices; req: python, signal processing. Goal: build a simple data pipeline.",15,21,"[""python"", ""signal processing""]"
p48,"Topic: NLP for low-resource languages; req: keras, nlp, python. Goal: annotate a small dataset.",10,28,"[""keras"", ""nlp"", ""python""]"
p49,"Topic: LLM retrieval and RAG; req: data analysis, nlp, python, statistics. Goal: optimize CUDA kernels.",18,14,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p50,"Topic: EEG signal decoding; req: python, signal processing. Goal: optimize CUDA kernels.",18,13,"[""python"", ""signal processing""]"
p51,"Topic: Robotics perception; req: cv, python, pytorch, signal processing. Goal: optimize CUDA kernels.",6,23,"[""cv"", ""python"", ""pytorch"", ""signal processing""]"
p52,"Topic: Quantitative finance; req: data analysis, nlp, python, statistics. Goal: deploy on Jetson.",12,12,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p53,"Topic: Recommender systems at scale; req: data analysis, nlp, python, statistics. Goal: integrate with ROS2.",11,25,"[""data analysis"", ""nlp"", ""python"", ""statistics""]"
p54,"Topic: Anomaly detection in IoT; req: python, signal processing, statistics. Goal: annotate a small dataset.",11,10,"[""python"", ""signal processing"", ""statistics""]"
p55,"Topic: Computational photography; req: cv, python. Goal: perform A/B testing.",12,27,"[""cv"", ""python""]"
p56,"Topic: Time-series forecasting for energy; req: data analysis, python, statistics. Goal: build a simple data pipeline.",18,12,"[""data analysis"", ""python"", ""statistics""]"
p57,"Topic: Recommender systems at scale; req: data analysis, nlp, statistics. Goal: optimize CUDA kernels.",12,11,"[""data analysis"", ""nlp"", ""statistics""]"
